closure_event_id,dept_id,closure_start,closure_end,closure_duration_days,members,rows,output_dir
dept_225_closure_2021-02-09,225,2021-02-09,2021-02-18,10,2477,19816,outputs/05_robustness/full_registry_22/separate_effect/dept_225_closure_2021-02-09
dept_46_closure_2021-08-04,46,2021-08-04,2021-08-19,16,2720,21760,outputs/05_robustness/full_registry_22/separate_effect/dept_46_closure_2021-08-04
dept_59_closure_2021-08-03,59,2021-08-03,2021-08-19,17,3186,25488,outputs/05_robustness/full_registry_22/separate_effect/dept_59_closure_2021-08-03
dept_124_closure_2021-07-22,124,2021-07-22,2021-08-18,28,3095,24760,outputs/05_robustness/full_registry_22/separate_effect/dept_124_closure_2021-07-22
dept_133_closure_2021-07-28,133,2021-07-28,2021-08-22,26,2194,17552,outputs/05_robustness/full_registry_22/separate_effect/dept_133_closure_2021-07-28
dept_121_closure_2021-08-03,121,2021-08-03,2021-08-20,18,2218,17744,outputs/05_robustness/full_registry_22/separate_effect/dept_121_closure_2021-08-03
dept_62_closure_2021-08-04,62,2021-08-04,2021-08-17,14,2644,21152,outputs/05_robustness/full_registry_22/separate_effect/dept_62_closure_2021-08-04
dept_47_closure_2021-07-30,47,2021-07-30,2021-08-10,12,3384,27072,outputs/05_robustness/full_registry_22/separate_effect/dept_47_closure_2021-07-30
dept_220_closure_2021-08-03,220,2021-08-03,2021-08-12,10,1834,14672,outputs/05_robustness/full_registry_22/separate_effect/dept_220_closure_2021-08-03
dept_5_closure_2021-08-18,5,2021-08-18,2021-08-31,14,2439,19512,outputs/05_robustness/full_registry_22/separate_effect/dept_5_closure_2021-08-18
dept_19_closure_2021-07-15,19,2021-07-15,2021-07-25,11,3301,26408,outputs/05_robustness/full_registry_22/separate_effect/dept_19_closure_2021-07-15
dept_3_closure_2021-08-09,3,2021-08-09,2021-08-22,14,1486,11888,outputs/05_robustness/full_registry_22/separate_effect/dept_3_closure_2021-08-09
dept_39_closure_2021-07-25,39,2021-07-25,2021-08-19,26,2891,23128,outputs/05_robustness/full_registry_22/separate_effect/dept_39_closure_2021-07-25
dept_182_closure_2021-08-03,182,2021-08-03,2021-08-20,18,1577,12616,outputs/05_robustness/full_registry_22/separate_effect/dept_182_closure_2021-08-03
dept_181_closure_2021-02-11,181,2021-02-11,2021-02-25,15,441,3528,outputs/05_robustness/full_registry_22/separate_effect/dept_181_closure_2021-02-11
dept_44_closure_2021-07-24,44,2021-07-24,2021-08-05,13,1563,12504,outputs/05_robustness/full_registry_22/separate_effect/dept_44_closure_2021-07-24
dept_8_closure_2021-05-27,8,2021-05-27,2021-06-10,15,674,5392,outputs/05_robustness/full_registry_22/separate_effect/dept_8_closure_2021-05-27
dept_254_closure_2021-01-30,254,2021-01-30,2021-02-21,23,906,7248,outputs/05_robustness/full_registry_22/separate_effect/dept_254_closure_2021-01-30
dept_131_closure_2021-08-29,131,2021-08-29,2021-09-08,11,2713,21704,outputs/05_robustness/full_registry_22/separate_effect/dept_131_closure_2021-08-29
dept_238_closure_2021-07-24,238,2021-07-24,2021-08-21,29,1689,13512,outputs/05_robustness/full_registry_22/separate_effect/dept_238_closure_2021-07-24
dept_246_closure_2021-07-27,246,2021-07-27,2021-08-08,13,540,4320,outputs/05_robustness/full_registry_22/separate_effect/dept_246_closure_2021-07-27
dept_228_closure_2021-02-04,228,2021-02-04,2021-02-20,17,886,7088,outputs/05_robustness/full_registry_22/separate_effect/dept_228_closure_2021-02-04
